"study","infected_year","tested_year","log_titer"
"smith",1991,1994,2
"smith",1991,1995,2
"smith",1991,1995,3
"smith",1991,1995,2
"smith",1991,1995,3
"smith",1991,1995,2
"smith",1991,1995,3
"smith",1991,1995,3
"smith",1991,1995,2
"smith",1991,1995,3
"smith",1991,1995,3
"smith",1991,1995,3
"smith",1991,1995,2
"smith",1991,1995,2
"smith",1991,1996,3
"smith",1991,1996,4
"smith",1991,1996,4
"smith",1991,1996,3
"smith",1991,1996,4
"smith",1991,1996,3
"smith",1991,1996,2
"smith",1991,1996,4
"smith",1991,1996,2
"smith",1993,1968,0
"smith",1993,1972,0
"smith",1993,1974,0
"smith",1993,1975,0
"smith",1993,1977,0
"smith",1993,1980,0
"smith",1993,1980,0
"smith",1993,1982,0
"smith",1993,1982,0
"smith",1993,1985,0
"smith",1993,1985,0
"smith",1993,1986,0
"smith",1993,1988,0
"smith",1993,1989,0
"smith",1993,1990,0
"smith",1993,1991,2
"smith",1993,1993,3
"smith",1993,1993,6
"smith",1993,1993,5
"smith",1993,1995,5
"smith",1993,1989,0
"smith",1993,1989,2
"smith",1993,1990,2
"smith",1993,1992,2
"smith",1993,1992,3
"smith",1993,1992,1
"smith",1993,1992,2
"smith",1993,1992,0
"smith",1993,1993,5
"smith",1993,1993,2
"smith",1993,1993,3
"smith",1993,1993,4
"smith",1993,1993,6
"smith",1993,1993,2
"smith",1993,1993,5
"smith",1993,1993,5
"smith",1993,1993,3
"smith",1993,1994,4
"smith",1993,1994,4
"smith",1993,1994,5
"smith",1993,1994,5
"smith",1993,1994,5
"smith",1993,1994,4
"smith",1993,1993,5
"smith",1993,1994,3
"smith",1993,1995,5
"smith",1993,1995,4
"smith",1993,1994,5
"smith",1993,1995,5
"smith",1993,1995,6
"smith",1995,1968,0
"smith",1995,1972,0
"smith",1995,1974,0
"smith",1995,1975,0
"smith",1995,1977,0
"smith",1995,1980,0
"smith",1995,1980,0
"smith",1995,1982,0
"smith",1995,1982,0
"smith",1995,1985,0
"smith",1995,1985,0
"smith",1995,1986,0
"smith",1995,1988,0
"smith",1995,1989,0
"smith",1995,1990,0
"smith",1995,1993,7
"smith",1995,1993,4
"smith",1995,1993,8
"smith",1995,1995,8
"smith",1995,1987,0
"smith",1995,1982,0
"smith",1995,1989,0
"smith",1995,1992,2
"smith",1995,1993,5
"smith",1995,1993,6
"smith",1995,1993,7
"smith",1995,1994,8
"smith",1995,1993,6
"smith",1995,1994,6
"smith",1995,1995,3
"smith",1995,1995,5
"smith",1995,1994,7
"smith",1995,1995,5
"smith",1995,1995,9
"smith",1995,1995,4
"smith",1995,1995,8
"smith",1995,1995,4
"smith",1995,1995,7
"smith",1995,1995,6
"smith",1995,1995,4
"smith",1995,1995,5
"smith",1995,1995,3
"smith",1995,1995,5
"smith",1995,1995,6
